METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ
"DEbest","ackley",5,2,420,17,5.211926
"DEbest","ackley",5,2,440,18,3.641872
"DEbest","ackley",5,2,460,19,3.641872
"DEbest","ackley",5,2,480,20,3.641872
"DEbest","ackley",5,2,500,21,3.641872
"DEbest","ackley",5,2,520,22,3.112105
"DEbest","ackley",5,2,540,23,2.242349
"DEbest","ackley",5,2,560,24,2.242349
"DEbest","ackley",5,2,580,25,2.242349
"DEbest","ackley",5,2,600,26,2.242349
"DEbest","ackley",5,2,620,27,2.242349
"DEbest","ackley",5,2,640,28,2.211445
"DEbest","ackley",5,2,660,29,1.204116
"DEbest","ackley",5,2,680,30,1.204116
"DEbest","ackley",5,2,700,31,1.204116
"DEbest","ackley",5,2,720,32,0.858652
"DEbest","ackley",5,2,740,33,0.858652
"DEbest","ackley",5,2,760,34,0.858652
"DEbest","ackley",5,2,780,35,0.556304
"DEbest","ackley",5,2,800,36,0.438186
"DEbest","ackley",5,2,820,37,0.438186
"DEbest","ackley",5,2,840,38,0.349473
"DEbest","ackley",5,2,860,39,0.209008
"DEbest","ackley",5,2,880,40,0.159740
"DEbest","ackley",5,2,900,41,0.085124
"DEbest","ackley",5,2,920,42,0.085124
"DEbest","ackley",5,2,940,43,0.085124
"DEbest","ackley",5,2,960,44,0.085124
"DEbest","ackley",5,2,980,45,0.085124
"DEbest","ackley",5,2,1000,46,0.063242
"DEbest","ackley",5,2,1020,47,0.038410
"DEbest","ackley",5,2,1040,48,0.038410
"DEbest","ackley",5,2,1060,49,0.033246
"DEbest","ackley",5,2,1080,50,0.033246
"DEbest","ackley",5,2,1100,51,0.020110
"DEbest","ackley",5,2,1120,52,0.020110
"DEbest","ackley",5,2,1140,53,0.020110
"DEbest","ackley",5,2,1160,54,0.018698
"DEbest","ackley",5,2,1180,55,0.015559
"DEbest","ackley",5,2,1200,56,0.011884
"DEbest","ackley",5,2,1220,57,0.011884
"DEbest","ackley",5,2,1240,58,0.011337
"DEbest","ackley",5,2,1260,59,0.009539
"DEbest","ackley",5,2,1280,60,0.009539
"DEbest","ackley",5,2,1300,61,0.008426
"DEbest","ackley",5,2,1320,62,0.007872
"DEbest","ackley",5,2,1340,63,0.003181
"DEbest","ackley",5,2,1360,64,0.003181
"DEbest","ackley",5,2,1380,65,0.002426
"DEbest","ackley",5,2,1400,66,0.002426
"DEbest","ackley",5,2,1420,67,0.002426
"DEbest","ackley",5,2,1440,68,0.002378
"DEbest","ackley",5,2,1460,69,0.002378
"DEbest","ackley",5,2,1480,70,0.002070
"DEbest","ackley",5,2,1500,71,0.002070
"DEbest","ackley",5,2,1520,72,0.001336
"DEbest","ackley",5,2,1540,73,0.001327
"DEbest","ackley",5,2,1560,74,0.000738
"DEbest","ackley",5,2,1580,75,0.000738
"DEbest","ackley",5,2,1600,76,0.000549
"DEbest","ackley",5,2,1620,77,0.000549
"DEbest","ackley",5,2,1640,78,0.000542
"DEbest","ackley",5,2,1660,79,0.000466
"DEbest","ackley",5,2,1680,80,0.000352
"DEbest","ackley",5,2,1700,81,0.000352
"DEbest","ackley",5,2,1720,82,0.000319
"DEbest","ackley",5,2,1740,83,0.000277
"DEbest","ackley",5,2,1760,84,0.000175
"DEbest","ackley",5,2,1780,85,0.000175
"DEbest","ackley",5,2,1800,86,0.000175
"DEbest","ackley",5,2,1820,87,0.000105
"DEbest","ackley",5,2,1840,88,0.000105
"DEbest","ackley",5,2,1860,89,0.000105
"DEbest","ackley",5,2,1880,90,0.000074
"DEbest","ackley",5,2,1900,91,0.000074
"DEbest","ackley",5,2,1920,92,0.000074
"DEbest","ackley",5,2,1940,93,0.000051
"DEbest","ackley",5,2,1960,94,0.000051
"DEbest","ackley",5,2,1980,95,0.000049
"DEbest","ackley",5,2,2000,96,0.000049
"DEbest","ackley",5,3,100,1,18.513880
"DEbest","ackley",5,3,120,2,14.284463
"DEbest","ackley",5,3,140,3,14.284463
"DEbest","ackley",5,3,160,4,14.284463
"DEbest","ackley",5,3,180,5,14.284463
"DEbest","ackley",5,3,200,6,8.926704
"DEbest","ackley",5,3,220,7,8.926704
"DEbest","ackley",5,3,240,8,8.926704
"DEbest","ackley",5,3,260,9,8.516651
"DEbest","ackley",5,3,280,10,8.516651
"DEbest","ackley",5,3,300,11,7.898998
"DEbest","ackley",5,3,320,12,6.781799
"DEbest","ackley",5,3,340,13,5.164402
"DEbest","ackley",5,3,360,14,5.164402
"DEbest","ackley",5,3,380,15,5.164402
"DEbest","ackley",5,3,400,16,5.164402
"DEbest","ackley",5,3,420,17,4.744036
"DEbest","ackley",5,3,440,18,4.560391
"DEbest","ackley",5,3,460,19,3.996324
"DEbest","ackley",5,3,480,20,3.079043
"DEbest","ackley",5,3,500,21,3.025783
"DEbest","ackley",5,3,520,22,2.707415
"DEbest","ackley",5,3,540,23,2.707415
"DEbest","ackley",5,3,560,24,2.517738
"DEbest","ackley",5,3,580,25,2.517738
"DEbest","ackley",5,3,600,26,2.517738
"DEbest","ackley",5,3,620,27,2.299169
"DEbest","ackley",5,3,640,28,1.958685
"DEbest","ackley",5,3,660,29,1.958685
"DEbest","ackley",5,3,680,30,0.687405
"DEbest","ackley",5,3,700,31,0.687405
"DEbest","ackley",5,3,720,32,0.687405
"DEbest","ackley",5,3,740,33,0.286445
"DEbest","ackley",5,3,760,34,0.286445
"DEbest","ackley",5,3,780,35,0.286445
"DEbest","ackley",5,3,800,36,0.279608
"DEbest","ackley",5,3,820,37,0.279608
"DEbest","ackley",5,3,840,38,0.198670
"DEbest","ackley",5,3,860,39,0.146046
"DEbest","ackley",5,3,880,40,0.146046
"DEbest","ackley",5,3,900,41,0.146046
"DEbest","ackley",5,3,920,42,0.145614
"DEbest","ackley",5,3,940,43,0.123786
"DEbest","ackley",5,3,960,44,0.076990
"DEbest","ackley",5,3,980,45,0.063450
"DEbest","ackley",5,3,1000,46,0.053325
"DEbest","ackley",5,3,1020,47,0.052565
"DEbest","ackley",5,3,1040,48,0.033494
"DEbest","ackley",5,3,1060,49,0.033494
"DEbest","ackley",5,3,1080,50,0.033494
"DEbest","ackley",5,3,1100,51,0.033494
"DEbest","ackley",5,3,1120,52,0.022543
"DEbest","ackley",5,3,1140,53,0.022543
"DEbest","ackley",5,3,1160,54,0.019243
"DEbest","ackley",5,3,1180,55,0.011407
"DEbest","ackley",5,3,1200,56,0.011407
"DEbest","ackley",5,3,1220,57,0.011407
"DEbest","ackley",5,3,1240,58,0.011308
"DEbest","ackley",5,3,1260,59,0.008550
"DEbest","ackley",5,3,1280,60,0.003839
"DEbest","ackley",5,3,1300,61,0.003839
"DEbest","ackley",5,3,1320,62,0.003708
"DEbest","ackley",5,3,1340,63,0.001286
"DEbest","ackley",5,3,1360,64,0.001286
"DEbest","ackley",5,3,1380,65,0.001286
"DEbest","ackley",5,3,1400,66,0.001286
"DEbest","ackley",5,3,1420,67,0.000980
"DEbest","ackley",5,3,1440,68,0.000980
"DEbest","ackley",5,3,1460,69,0.000437
"DEbest","ackley",5,3,1480,70,0.000329
"DEbest","ackley",5,3,1500,71,0.000329
"DEbest","ackley",5,3,1520,72,0.000328
"DEbest","ackley",5,3,1540,73,0.000328
"DEbest","ackley",5,3,1560,74,0.000328
"DEbest","ackley",5,3,1580,75,0.000286
"DEbest","ackley",5,3,1600,76,0.000144
"DEbest","ackley",5,3,1620,77,0.000144
"DEbest","ackley",5,3,1640,78,0.000144
"DEbest","ackley",5,3,1660,79,0.000144
"DEbest","ackley",5,3,1680,80,0.000144
"DEbest","ackley",5,3,1700,81,0.000144
"DEbest","ackley",5,3,1720,82,0.000057
"DEbest","ackley",5,3,1740,83,0.000057
"DEbest","ackley",5,3,1760,84,0.000057
"DEbest","ackley",5,3,1780,85,0.000044
"DEbest","ackley",5,3,1800,86,0.000044
"DEbest","ackley",5,3,1820,87,0.000044
"DEbest","ackley",5,3,1840,88,0.000044
"DEbest","ackley",5,3,1860,89,0.000029
"DEbest","ackley",5,3,1880,90,0.000029
"DEbest","ackley",5,3,1900,91,0.000029
"DEbest","ackley",5,3,1920,92,0.000018
"DEbest","ackley",5,3,1940,93,0.000017
"DEbest","ackley",5,3,1960,94,0.000017
"DEbest","ackley",5,3,1980,95,0.000017
"DEbest","ackley",5,3,2000,96,0.000016
"DEbest","ackley",5,4,100,1,18.850571
"DEbest","ackley",5,4,120,2,18.663667
"DEbest","ackley",5,4,140,3,16.276622
